,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
fixed acidity,1.0,-0.042865,0.297878,0.106725,0.094691,-0.024542,0.112649,0.270031,-0.418341,-0.013238,-0.106827
volatile acidity,-0.042865,1.0,-0.15041,0.108627,-0.004934,-0.081213,0.117614,0.010124,-0.045204,-0.016902,0.033967
citric acid,0.297878,-0.15041,1.0,0.024621,0.032659,0.088314,0.093219,0.091425,-0.146193,0.079766,-0.02917
residual sugar,0.106725,0.108627,0.024621,1.0,0.227844,0.346107,0.431252,0.780365,-0.180028,-0.003844,-0.445257
chlorides,0.094691,-0.004934,0.032659,0.227844,1.0,0.167046,0.375244,0.508302,-0.054006,0.093931,-0.570806
free sulfur dioxide,-0.024542,-0.081213,0.088314,0.346107,0.167046,1.0,0.618616,0.327822,-0.006274,0.052252,-0.272569
total sulfur dioxide,0.112649,0.117614,0.093219,0.431252,0.375244,0.618616,1.0,0.563824,-0.011829,0.157825,-0.476619
density,0.270031,0.010124,0.091425,0.780365,0.508302,0.327822,0.563824,1.0,-0.110061,0.095079,-0.821855
pH,-0.418341,-0.045204,-0.146193,-0.180028,-0.054006,-0.006274,-0.011829,-0.110061,1.0,0.140243,0.148857
sulphates,-0.013238,-0.016902,0.079766,-0.003844,0.093931,0.052252,0.157825,0.095079,0.140243,1.0,-0.044868
alcohol,-0.106827,0.033967,-0.02917,-0.445257,-0.570806,-0.272569,-0.476619,-0.821855,0.148857,-0.044868,1.0
