,count,mean,std,variance,min,q1,median,q3,max,skewness,kurtosis
fixed acidity,6497.0,7.215307,1.296434,1.68074,3.8,6.4,7.0,7.7,15.9,1.72329,5.061161
volatile acidity,6497.0,0.339666,0.164636,0.027105,0.08,0.23,0.29,0.4,1.58,1.495097,2.825372
citric acid,6497.0,0.318633,0.145318,0.021117,0.0,0.25,0.31,0.39,1.66,0.471731,2.397239
residual sugar,6497.0,5.443235,4.757804,22.636696,0.6,1.8,3.0,8.1,65.8,1.435404,4.359272
chlorides,6497.0,0.056034,0.035034,0.001227,0.009,0.038,0.047,0.065,0.611,5.399828,50.898051
free sulfur dioxide,6497.0,30.525319,17.7494,315.041192,1.0,17.0,29.0,41.0,289.0,1.220066,7.906238
total sulfur dioxide,6497.0,115.744574,56.521855,3194.720039,6.0,77.0,118.0,156.0,440.0,-0.001177,-0.371664
density,6497.0,0.994697,0.002999,9e-06,0.98711,0.99234,0.99489,0.99699,1.03898,0.503602,6.606067
pH,6497.0,3.218501,0.160787,0.025853,2.72,3.11,3.21,3.32,4.01,0.386839,0.367657
sulphates,6497.0,0.531268,0.148806,0.022143,0.22,0.43,0.51,0.6,2.0,1.79727,8.653699
alcohol,6497.0,10.491801,1.192712,1.422561,8.0,9.5,10.3,11.3,14.9,0.565718,-0.531687
