,count,mean,std,variance,min,q1,median,q3,max,skewness,kurtosis
fixed acidity,1599.0,8.319637,1.741096,3.031416,4.6,7.1,7.9,9.2,15.9,0.982751,1.132143
volatile acidity,1599.0,0.527821,0.17906,0.032062,0.12,0.39,0.52,0.64,1.58,0.671593,1.225542
citric acid,1599.0,0.270976,0.194801,0.037947,0.0,0.09,0.26,0.42,1.0,0.318337,-0.788998
residual sugar,1599.0,2.538806,1.409928,1.987897,0.9,1.9,2.2,2.6,15.5,4.540655,28.617595
chlorides,1599.0,0.087467,0.047065,0.002215,0.012,0.07,0.079,0.09,0.611,5.680347,41.715787
free sulfur dioxide,1599.0,15.874922,10.460157,109.414884,1.0,7.0,14.0,21.0,72.0,1.250567,2.023562
total sulfur dioxide,1599.0,46.467792,32.895324,1082.102373,6.0,22.0,38.0,62.0,289.0,1.515531,3.809824
density,1599.0,0.996747,0.001887,4e-06,0.99007,0.9956,0.99675,0.997835,1.00369,0.071288,0.934079
pH,1599.0,3.311113,0.154386,0.023835,2.74,3.21,3.31,3.4,4.01,0.193683,0.806943
sulphates,1599.0,0.658149,0.169507,0.028733,0.33,0.55,0.62,0.73,2.0,2.428672,11.720251
alcohol,1599.0,10.422983,1.065668,1.135647,8.4,9.5,10.2,11.1,14.9,0.860829,0.200029
