,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
fixed acidity,1.0,-0.278282,0.661708,0.220701,0.250904,-0.175137,-0.088417,0.623071,-0.706674,0.212654,-0.066576
volatile acidity,-0.278282,1.0,-0.610259,0.032386,0.15877,0.021163,0.09411,0.025014,0.233572,-0.325584,-0.224932
citric acid,0.661708,-0.610259,1.0,0.176417,0.112577,-0.076452,0.0094,0.352285,-0.548026,0.331074,0.096456
residual sugar,0.220701,0.032386,0.176417,1.0,0.212959,0.074618,0.145375,0.422266,-0.089971,0.038332,0.116548
chlorides,0.250904,0.15877,0.112577,0.212959,1.0,0.000805,0.130033,0.41139,-0.234361,0.020825,-0.284504
free sulfur dioxide,-0.175137,0.021163,-0.076452,0.074618,0.000805,1.0,0.789698,-0.041178,0.115679,0.045862,-0.081367
total sulfur dioxide,-0.088417,0.09411,0.0094,0.145375,0.130033,0.789698,1.0,0.129332,-0.009841,-0.000504,-0.257806
density,0.623071,0.025014,0.352285,0.422266,0.41139,-0.041178,0.129332,1.0,-0.312055,0.161478,-0.462445
pH,-0.706674,0.233572,-0.548026,-0.089971,-0.234361,0.115679,-0.009841,-0.312055,1.0,-0.080306,0.179932
sulphates,0.212654,-0.325584,0.331074,0.038332,0.020825,0.045862,-0.000504,0.161478,-0.080306,1.0,0.20733
alcohol,-0.066576,-0.224932,0.096456,0.116548,-0.284504,-0.081367,-0.257806,-0.462445,0.179932,0.20733,1.0
