,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
fixed acidity,0.157218,0.587558,-0.121368,0.018584,0.251048,-0.103531,-0.197849,0.588355,0.330523,-0.131705,-0.17129
volatile acidity,0.005089,-0.051728,0.590971,0.274115,0.642617,0.122338,0.269355,0.028373,-0.14591,-0.223722,-0.017057
citric acid,0.14405,0.345295,-0.504397,0.148514,0.053905,0.132097,0.705481,-0.152287,-0.202011,-0.037351,-0.009721
residual sugar,0.427408,-0.008749,0.21432,-0.273765,0.011391,-0.289447,0.21276,-0.388186,0.408969,0.094468,-0.490226
chlorides,0.212011,0.0088,0.102367,0.710712,-0.328628,0.395821,-0.079484,-0.100151,0.393535,0.053374,-0.025399
free sulfur dioxide,0.300334,-0.290355,-0.27941,-0.305585,0.176912,0.494494,-0.166779,-0.081799,0.144073,-0.567451,0.030908
total sulfur dioxide,0.406652,-0.244032,-0.124375,-0.060456,0.29301,0.27632,-0.06773,0.247314,-0.15454,0.70912,-0.035561
density,0.511524,-0.006297,0.129203,-0.022061,-0.084588,-0.327651,0.110385,0.069026,0.087888,-0.068374,0.759779
pH,-0.128832,-0.581344,-0.126672,0.097753,-0.119826,-0.193341,0.427313,0.533881,0.261298,-0.110733,-0.141197
sulphates,0.043379,-0.222695,-0.433244,0.44206,0.400585,-0.481039,-0.308562,-0.270394,-0.011698,-0.057708,-0.041833
alcohol,-0.437238,0.035569,-0.105903,-0.141079,0.337419,0.139284,0.128922,-0.195859,0.621091,0.272609,0.357961
